iShares MSCI Australia 200,ETF,MSCI Australia 200,IOZ,IOZ.AXW,IOZ.AU,0.19,Dec-10
iShares S&P/ASX 20,ETF,S&P/ASX 20,ILC,ILC.AXW,ILC.AU,0.24,Dec-10
iShares S&P/ASX Small Ordinaries,ETF,S&P/ASX Small Ordinaries,ISO,ISO.AXW,ISO.AU,0.55,Dec-10
SPDR 200 Fund,ETF,S&P/ASX 200,STW,STW.AXW,STW.AU,0.28,Aug-01
SPDR 50 Fund,ETF,S&P/ASX 50,SFY,SFY.AXW,SFY.AU,0.28,Aug-01
SPDR S&P/ASX Small Ordinaries Fund,ETF,S&P/ASX Small Ordinaries,SSO,SSO.AXW,SSO.AU,0.50,Apr-11
Vanguard Australian Shares Index,ETF,S&P/ASX 300,VAS,VAS.AXW,VAS.AU,0.15,May-09
Vanguard MSCI Australian Large Companies Index,ETF,MSCI Large Cap Index,VLC,VLC.AXW,VLC.AU,0.20,May-11
Vanguard MSCI Australian Small Companies Index,ETF,MSCI Small Cap Index,VSO,VSO.AXW,VSO.AU,0.30,May-11
Aii S&P/ASX 200 Energy,ETF,S&P/ASX 200 Energy,ENY,ENY.AXW,ENY.AU,0.43,Apr-10
Aii S&P/ASX 200 Financials,ETF,S&P/ASX 200 Financials,FIN,FIN.AXW,FIN.AU,0.43,Mar-10
Aii S&P/ASX 200 Financials x A-REITs,ETF,S&P/ASX 200 X-A-REITs,FIX,FIX.AXW,FIX.AU,0.43,Apr-10
Aii S&P/ASX 200 Industrials,ETF,S&P/ASX 200 Industrials,IDD,IDD.AXW,IDD.AU,0.43,Apr-10
Aii S&P/ASX 300 Metals and Mining,ETF,S&P/ASX 300 Metals & Mining,MAM,MAM.AXW,MAM.AU,0.43,Apr-10
Aii S&P/ASX 200 Resources,ETF,S&P/ASX 200 Resources,RSR,RSR.AXW,RSR.AU,0.43,Mar-10
Beta Shares S&P/ASX 200 Financials Sector ETF,ETF,S&P/ASX 200 Financials,QFN,QFN.AXW,QFN.AU,0.39,Dec-10
Beta Shares S&P/ASX 200 Resources Sector ETF,ETF,S&P/ASX 200 Resources,QRE,QRE.AXW,QRE.AU,0.39,Dec-10
DIGGA Australian Mining Fund,ETF,Chimaera Australian Mining Index,DGA,DGA.AXW,DGA.AU,1.00,Jan - 12
SPDR S&P/ASX 200 Listed Property Fund,ETF,S&P/ASX 200 A-REITs,SLF,SLF.AXW,SLF.AU,0.40,Feb-02
SPDR S&P/ASX 200 Financials ex A-REITS Fund,ETF,S&P/ASX 200 X-A-REITs,OZF,OZF.AXW,OZF.AU,0.40,Apr-11
SPDR S&P/ASX 200 Resources Fund,ETF,S&P/ASX 200 Resources,OZR,OZR.AXW,OZR.AU,0.40,Apr-11
Vanguard Australian Property Securities Index ETF,ETF,S&P/ASX 300 A-REITs,VAP,VAP.AXW,VAP.AU,0.25,Oct-10
iShares S&P Asia 50,ETF,S&P Asia 50,IAA,IAA.AXW,IAA.AU,0.52,Sep-08
iShares MSCI BRIC,ETF,MSCI BRIC,IBK,IBK.AXW,IBK.AU,0.67,Sept-08
iShares MSCI Taiwan,ETF,MSCI Taiwan,ITW,ITW.AXW,ITW.AU,0.59,Nov-07
iShares MSCI South Korea,ETF,MSCI South Korea,IKO,IKO.AXW,IKO.AU,0.59,Nov-07
iShares MSCI Hong Kong,ETF,MSCI Hong Kong,IHK,IHK.AXW,IHK.AU,0.52,Nov-07
iShares MSCI Singapore,ETF,MSCI Singapore,ISG,ISG.AXW,ISG.AU,0.52,Nov-07
iShares Russell 2000,ETF,Russell 2000,IRU,IRU.AXW,IRU.AU,0.28,Nov-07
iShares FTSE China 25,ETF,FTSE China 25,IZZ,IZZ.AXW,IZZ.AU,0.72,Nov-07
iShares MSCI Japan,ETF,MSCI Japan,IJP,IJP.AXW,IJP.AU,0.51,Oct-07
iShares MSCI Emerging Markets,ETF,MSCI Emerging Markets,IEM,IEM.AXW,IEM.AU,0.67,Oct-07
iShares S&P Global 100,ETF,S&P Global 100,IOO,IOO.AXW,IOO.AU,0.40,Oct-07
iShares S&P 500,ETF,S&P 500,IVV,IVV.AXW,IVV.AU,0.09,Oct-07
iShares S&P MidCap 400,ETF,S&P Midcap 400,IJH,IJH.AXW,IJH.AU,0.22,Oct-07
iShares S&P SmallCap 600,ETF,S&P SmallCap 600,IJR,IJR.AXW,IJR.AU,0.20,Oct-07
iShares MSCI EAFE,ETF,MSCI EAFE,IVE,IVE.AXW,IVE.AU,0.35,Oct-07
iShares S&P Europe 350,ETF,S&P Europe 350,IEU,IEU.AXW,IEU.AU,0.60,Oct-07
Vanguard All-World EX US Shares Index,ETF,FTSE All World Ex-US,VEU,VEU.AXW,VEU.AU,0.18,May-09
Vanguard US Total Market Shares Index,ETF,MSCI US Broad Market,VTS,VTS.AXW,VTS.AU,0.06,May-09
iShares S&P Global Consumer Staples,ETF,S&P Global Consumer Staples,IXI,IXI.AXW,IXI.AU,0.48,Mar-09
iShares S&P Global Healthcare,ETF,S&P Global Healthcare,IXJ,IXJ.AXW,IXJ.AU,0.48,Mar-09
iShares S&P Global Telecommunications,ETF,S&P Global Telecommunications,IXP,IXP.AXW,IXP.AU,0.48,Mar-09
BetaShares Australian Equities Australian Bear Hegde Fund,MF,S&P/ASX 200 Index,BEAR,BEAR.AXW,BEAR.AU,1.19,Jul - 12
iShares S&P/ASX High Dividend,ETF,S&P/ASX Dividend Opportunities Index,IHD,IHD.AXW,IHD.AU,0.30,Dec-10
Russell High Dividend Australian Shares ETF,ETF,Russell High Dividend Index,RDV,RDV.AXW,RDV.AU,0.46,May-10
Russell Australia Value ETF,ETF,Russell Australian Value Index,RVL,RVL.AXW,RVL.AU,0.34,Mar-11
SPDR MSCI Australia Select High Dividend Yield Fund,ETF,MSCI Australian Select High Dividend Yield Index,SYI,SYL.AXW,SYL.AU,0.35,Sep-10
Vanguard Australian Shares High Yield ETF,ETF,FTSE ASFA Australian High Dividend Yield Index,VHY,VHY.AXW,VHY.AU,0.25,May-11
BetaShares Euro ETF,ETF,Euro,EEU,EEU.AXW,EEU.AU,0.45,Jul-11
BetaShares British Pound ETF,ETF,British Pound,POU,POU.AXW,POU.AU,0.45,Jul-11
BetaShares U.S. Dollar ETF,ETF,US Dollar,USD,USD.AXW,USD.AU,0.45,Feb-11
Australian High Interest Cash ETF,ETF,Australian Cash,AAA,AAA.AXW,AAA.AU,0.18,Mar-12
iShares UBS Composite Bond Index Fund,ETF,UBS Composite Bond Index,IAF,IAF.AXW,IAF.AU,0.24,Mar-12
iShares UBS Government Inflation Index Fund,ETF,UBS Government Inflation Index,ILB,ILB.AXW,ILB.AU,0.26,Mar-12
iShares UBS Treasury Index Fund,ETF,UBS Treasury Index,IGB,IGB.AXW,IGB.AU,0.26,Mar-12
Russell Australian Government Bond ETF,ETF,Australian Government Bonds,RGB,RGB.AXW,RGB.AU,0.24,Mar-12
Russell Australian Semi-Government Bond ETF,ETF,Australian Semi-Government Bonds,RSM,RSM.AXW,RSM.AU,0.26,Mar-12
Russell Australian Select Corporate Bond ETF,ETF,Australian  Corporate Bonds,RCB,RCB.AXW,RCB.AU,0.28,Mar-12
SPDR S&P/ASX Australian Bond Fund,ETF,S&P/ASX Australian Fixed Income Index,BOND,BOND.AXW,BOND.AU,0.24,Jul - 12
SPDR S&P/ASX Australian Government Bond Fund,ETF,S&P /ASX Bond Index,GOVT,GOVT.AXW,GOVT.AU,0.22,Jul - 12
Vanguard Australian Government Bond Index ETF,ETF,Australian Government Bonds,VGB,VGB.AXW,VGB.AU,0.20,Apr-12
BetaShares Agricultural ETF - Currency Hedged (Synthetic),ETF,S&P/GSCI Agriculture Index,QAG,QAG.AXW,QAG.AU,0.69,Dec-11
BetaShares Gold Bullion ETF - Currency Hedged,ETF,Gold,QAU,QAU.AXW,QAU.AU,0.39,May-11
BetaShares Commodities Basket ETF - Currency Hedged (Synthetic),ETF,S&P/GSCI Light Energy Index,QCB,QCB.AXW,QCB.AU,0.69,Dec-11
BetaShares Crude Oil Index ETF- Currency Hedged (Synthetic),ETF,S&P/GSCI Crude Oil Index,OOO,OOO.AXW,OOO.AU,0.69,Nov-11
